Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4
0	-8564.596530058965	-7503.385333997327	-1061.211196061638	-7503.385333997327	-998.0112946812385	2.9808405999998318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	1.0	2.0	0.25	0.25	0.25	0.25
50000	-6936.974542138536	-5964.552392128404	-972.4221500101323	-5964.552392128404	-957.1850945564921	4.498984221856207	2.0777559757400867	0.9132853488520191	0.7071108521577507	0.8028704681139519	2.279955044327309	0.17291703144845283	0.023450449889647795	1.3536139631464958	0.5480549696907977	0.39476420592441513	0.7782785680042194	0.05601250229137869	0.3463363599284445	0.3814697131175997	0.06847653891552008	0.39792486123558213	0.5795962231189159	0.25872365009596876	0.16144277494059636	0.4065242319632498	0.3071839486690801	0.502844606345711	0.5959195455118513	0.05917628779153527	0.011962852809605332	0.005	0.4951307133605168	8.589708684551995	0.33913587035384074	0.2277972919898206	0.21945236686466854	0.21361447079167026
100000	-6815.37964864297	-5898.932936356401	-916.4467122865692	-5898.932936356401	-899.7309987751122	4.9069726764809785	1.9720765336530597	1.373465237079822	0.2895989940228972	1.0300220598502166	2.3922554066687063	0.24230336062210436	0.2497902545980488	0.7011839677599957	1.112801886364744	0.07277558210586962	0.21850203084104977	0.0457866578313734	0.12102490999844355	0.16457572577306645	1.8794921690172428	0.30918962862447097	0.49603418292433965	0.3381042988501049	0.16847604188559756	0.1174902534947997	0.6310160805940258	0.2718773092795224	0.01654403871597175	0.6441176520199086	0.03934825292130543	0.005	0.4990002002319573	7.579580362517935	0.3491445691597786	0.20487215774694215	0.22497160816428566	0.2210116649289938
150000	-6793.006658347728	-5878.333751859543	-914.672906488186	-5878.333751859543	-895.6252093288451	5.500804181863523	1.1039445159177608	1.5817874402444385	0.17825034701477616	1.4430413367432224	2.738256662490822	0.256261938040334	0.8369206370274369	1.2453089047692147	1.098868479447599	0.07227439501485919	0.3846673091248577	0.13226426970949232	0.1620526635420748	0.8369584133612169	0.7979822576103689	0.02376075455667255	1.0034950294594593	0.11807200833356533	0.028842898540731323	0.6315742491211613	0.12624762420894464	0.011068951932088428	0.08503294361128358	0.5948432705143681	0.06554994697825217	0.005	0.4081100644146497	7.593047134437965	0.35811024381283896	0.21922019516836586	0.20872796086334866	0.21394160015544672
200000	-6732.033820817711	-5876.404243965335	-855.6295768523757	-5876.404243965335	-841.6329133564569	4.216187466723473	1.8301517415524002	1.3728746302279256	0.294968864420086	0.5806738710092882	2.4594248058429438	0.21608476218383826	0.03605601617243017	0.8761411499001137	1.3499722791324351	0.05652371656776513	0.2793163442767836	0.05071057775526916	0.2538065382934892	0.2742011160918712	0.7768029369808253	0.31657283691428095	0.6238072727870425	0.36830618122316494	0.05075582629242485	0.1702097714030431	1.3368165256411295	0.16075282154782425	0.027027685201997012	0.004407837368849247	0.06619168052602943	0.005	0.5020160569378562	7.758073963683102	0.3420521051576536	0.20270813565593973	0.21239916123538918	0.24284059795101773
250000	-6745.13214077907	-5864.483143208196	-880.648997570874	-5864.483143208196	-869.5259476278576	5.0099415307829736	1.3322323745891251	1.4035006771650473	0.35966515921439773	0.543332918297854	3.085913827955261	0.2822749852597742	0.01863976855545755	0.6971336571339598	0.8468739106797306	0.10511641337781488	0.19632027186863935	0.3429740712445896	0.08343611043282956	0.28774264275862776	0.7816675618694077	0.3066154308328903	0.6856768140833335	0.1894490855647848	0.04278917983382628	0.1498047233460807	0.817138261123683	0.07727013479994221	0.023533639408289377	0.07752135455772027	0.6009661093555863	0.005	0.45537441830974745	7.11563836845314	0.3455137744368398	0.2046891928553201	0.21170606150036358	0.2380909712074767
300000	-6738.689745099634	-5896.5124349209445	-842.1773101786897	-5896.5124349209445	-829.0608839914729	4.621700827617538	1.2933522443915368	1.4745268452170457	0.1887170782908451	0.6914390867271122	2.692255583005002	0.145382252832099	0.18252319431729436	1.1384804592213504	0.8616614770553991	0.17716943159335824	0.8589972036902755	0.2666889789124373	0.22956976852344968	0.47230019985331284	0.47437742952528983	0.033955843481826266	0.6622147422155517	0.09704665371454581	0.1356032221745043	0.04469651522094526	0.6491979940550745	0.05539710492154687	2.7578940270464884E-4	0.008286754781262185	0.6510760954822056	0.005	0.4455235201521469	8.231934113315841	0.34121124145229026	0.20344860590076333	0.208902802617077	0.2464373500298695
350000	-6680.9714211657165	-5846.259251288373	-834.7121698773436	-5846.259251288373	-824.0435551758596	4.765854484219375	1.366853631063431	1.139727841156683	0.37091659525914844	0.7320749788944463	2.0164120110098116	0.18359306763474786	0.21607640142724355	0.7522954259477709	1.6487184408531845	0.010008060554097661	0.10373831243047504	0.021675565818173904	0.5215763742482499	0.6858903148240622	0.24305995311422904	0.23542729106395593	0.27995516354749844	0.25020608664702093	0.016176594770292353	0.4043943039516147	0.8455434461719834	0.12236466283653653	0.012698591024339042	0.060845590218953485	0.00789215599676477	0.005	0.38993013795430964	7.128815342210149	0.34881264842017645	0.19643175649062847	0.20426287158962275	0.2504927234995724
400000	-6702.828980113245	-5890.608782790435	-812.2201973228101	-5890.608782790435	-806.7165347719475	5.379198418256192	1.3391870129623447	1.6772043846955529	0.16465158366663382	0.915995745218392	2.1709719039479727	0.1544514659086903	0.180557895127827	0.3546321199486904	0.8205177674842032	0.0079620290793979	0.08709016166135286	0.15041547841309033	0.5224491350231266	0.07398836835102861	0.518218938701099	0.20995234278345914	0.800194969488831	0.0992124618114313	0.13521770051574658	0.2279750895635379	0.4154392088756521	0.06434119323239103	0.00708701509393676	0.16002602915906053	0.24512562571198904	0.005	0.4037368376031394	8.05665274677219	0.3799966603280807	0.19752743837980216	0.20409469461387827	0.21838120667823893
450000	-6805.793002716835	-5888.065980609537	-917.7270221072973	-5888.065980609537	-903.3687020490081	4.939398126611815	1.6479530581287969	1.791657490431877	0.30839688561311596	1.1222305603987248	2.277540402620616	0.36416463449639785	0.0738490026062196	1.112993138081025	0.9604032281571568	0.0064997641922272835	0.07673834762814709	0.04034306337675214	0.28734998707286796	0.4085847674217496	1.0516953418773356	0.05747936644606599	1.08177967639952	0.050583507692158323	0.07440203163605211	0.3154607877213477	0.7715076864128056	0.1908035411395226	0.0191683596304133	0.09708930557070643	0.17417972519911612	0.005	0.41518175716632416	7.88770502284011	0.33941366534303935	0.19192834267847578	0.23054303428989653	0.23811495768858845
