Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4
500000	-6653.601632579117	-5891.517019649202	-762.0846129299152	-5891.517019649202	-751.3972224222583	5.053812015781087	1.5260728354340243	0.9443568592965876	0.5046295891909625	0.6111165253442785	1.8462964616512398	0.4367273068459327	0.06096136587924267	0.732657912505352	0.8542094086879332	0.017200284165809612	0.6776491529671441	0.18621925590701738	0.33978040363122536	0.7280942785522427	0.29003019555435217	0.5000549199734623	0.27220317489824664	0.5412870552684683	0.06759588073995025	0.1306366911136378	0.5033488020688502	0.16247884934827003	0.05580802321612	0.005511185184615354	0.012146105824752468	0.005	0.5220542090185727	7.892809012930236	0.3633540551158009	0.19418468616308485	0.21293857720363776	0.2295226815174764
550000	-6647.824749826846	-5865.853805529438	-781.9709442974068	-5865.853805529438	-771.7297870949518	4.89538157114687	1.6178510020513721	1.196196980277787	0.4073654687205326	0.7300834612380607	1.7431538338019146	0.11232723428620127	0.24004987649356108	0.5746587561325441	1.022843406962926	0.230199772624673	0.10698687874306005	0.05617945765729063	0.329878933998639	0.017123725780026532	1.1536573846213831	0.9654167812489813	0.31677517321655135	0.3226948969510272	0.14525025650949358	0.06007374899456487	0.2811868335771015	0.2391175952558955	0.021929868444727423	0.11281878414734772	0.11413166253596777	0.005	0.46540645497168587	7.838234347329087	0.33652863280785006	0.2133374465122781	0.21440580498680217	0.23572811569306956
600000	-6668.8198088142235	-5863.76174607891	-805.058062735314	-5863.76174607891	-796.2799338721626	5.350057099597063	1.8041393819473406	1.566933272050759	0.42912154031548333	0.5776481354507361	1.8244269126720412	0.1140337742892194	0.4446228196303813	0.4570249660912869	1.0406305641840428	0.06963154579120431	0.0581150859821013	0.21472675494894303	0.17412854361665703	0.14784857676465996	1.0323605657802863	0.10723004100778107	0.6394709166851885	0.20721826850919237	0.10064717157630945	0.005282255320605933	0.7562107947344204	0.31489124212999914	0.01080816102166881	0.05763753689747869	0.03533596747609868	0.005	0.49241358747820463	7.6208546317607695	0.3332972320626957	0.23812040009211266	0.18859265218264135	0.23998971566255017
650000	-6663.742658169998	-5881.8206938414305	-781.9219643285676	-5881.8206938414305	-772.8416296868206	4.929992516103784	1.9133064074437371	0.859397153666022	0.22987761224229497	0.5151925404108016	2.1420055410332166	0.2558765284134602	0.10889683256249806	0.7019831541709403	0.6044019621176803	0.04449394713748727	0.024353235232014592	0.1551242322339678	0.8984005887806101	0.38580400706707646	0.7128482252235139	0.6629582535956078	0.42316010533331366	0.12344354201394607	0.14184010313077985	0.03724405297691933	0.571295552613457	0.21753415885863125	0.05136411213637149	0.008665197854321663	0.18219413135757265	0.005	0.3067353464309321	8.08697538678143	0.3618710659528046	0.21785842244132536	0.18504836845125003	0.23522214315461987
700000	-6699.869333052795	-5898.335132948579	-801.5342001042161	-5898.335132948579	-785.6238427732167	5.295269483777955	1.4524470917184984	0.7324902505087485	0.402960005934178	0.5859281250151788	1.6259005083406015	0.19088202401233628	0.2972522078744122	0.55266883604388	1.214386097301731	0.4305298546961811	0.2140077413863906	0.31034115160253767	0.46579882693528946	0.4206177382298009	0.5780632166699158	0.915429099453791	0.10959045286620836	0.22800789778198688	0.1941239204960323	0.11545687559224006	1.0299808802191672	0.695473821771171	0.03976090427658432	0.038046235232910904	0.10750176309917533	0.005	0.4289202932725614	6.481427398247883	0.3638578202470675	0.18786135796380157	0.19564198143781342	0.25263884035131734
750000	-6646.021161111496	-5862.851562713417	-783.1695983980802	-5862.851562713417	-771.5471009981873	4.925294359169578	1.5621335074647678	0.7708746279167829	0.6310476891893688	0.5771811577878765	1.6776763294830348	0.17485203014153394	0.4610778326665229	0.23036967921213616	1.2264868060369594	0.09275574751011405	0.07981916847263343	0.09947342353563074	0.34931761247955706	0.40968848422034665	0.7514754432231082	0.029955850445808542	0.6853617009215192	0.7023138144825557	0.09564824420289154	0.04098325220945204	0.7506111640521119	0.32123186571779455	0.09077877867695283	0.09399192288361302	0.1599581675458235	0.005	0.4428140243335161	8.199502158838413	0.34527647299475617	0.19428289496320608	0.2032150015790762	0.2572256304629612
800000	-6712.608352314324	-5883.08868825241	-829.5196640619143	-5883.08868825241	-818.338147899975	5.040397650980903	1.368574564504751	1.4871029178651254	0.5107759456207196	0.505569078107188	1.9113390596491344	0.5407065453915706	0.28099694849432316	0.38554534504916393	0.7705735676108922	0.06239686085494833	0.0748345455196926	0.15561864000716477	0.3106931545875795	0.3575555956113714	0.6435523523927813	0.2871460476249667	0.5363577926273446	0.7043799901264056	0.060783749362455036	0.048414539567201334	0.9066869566986681	0.3263785575598398	0.010895241796082492	0.2351163121971367	0.04908765521347688	0.005	0.42013778362034493	6.397560087288711	0.3472347898703718	0.19549403984249525	0.2171370604591284	0.24013410982800418
850000	-6708.749305849682	-5884.118759559934	-824.6305462897485	-5884.118759559934	-814.4869997080024	4.691549621587164	2.1759816375713847	1.7001174080002412	0.5004797823922421	0.4768989952275728	1.8574337508168663	0.10706961071116694	0.02821115916978486	0.35094113782465347	1.3194312285821006	0.10577346836300719	0.17605013573297673	0.033913310381116925	0.1514200878944598	0.7367641556345028	0.992978829105337	0.12831483867904947	0.3486597265286054	0.14391769766781687	0.06492738085874847	0.17446673908653007	0.5522549282378327	0.11011057594835193	0.003633013021225624	0.07984075068781271	0.6971108555551575	0.005	0.457480964518158	6.87944119414613	0.3297783021065556	0.2142226058295531	0.21155887526924053	0.2444402167946503
900000	-6682.651468941524	-5867.297191351496	-815.3542775900283	-5867.297191351496	-804.9126095578273	4.638225231968117	1.4145601481738455	1.2035395930383084	0.31401768199988417	0.6985288699907316	1.7486868153041062	0.16996121533984826	0.36347586062143533	0.6918967712123669	1.013840100205531	0.10564221871495177	0.11063897639657247	0.02310682310440363	0.35464361328059446	0.004570409278764629	0.7365979458598698	0.38102360058351753	0.3933618571227779	0.6083111567267355	0.13617516726822249	0.14732163000437992	0.8823211944336895	0.10491065422972062	0.06292528102409214	0.2113496959836546	0.007298054443104827	0.005	0.4329047791992992	9.116263673850096	0.3580245005960089	0.22315193589761695	0.197267530092808	0.2215560334135658
950000	-6664.960068654953	-5871.199105713315	-793.7609629416384	-5871.199105713315	-783.4107252300591	4.437587151637269	1.0841227519668128	1.3884199574989728	0.6720484832372638	0.742926073063153	2.1968875795438345	0.49346344678567083	0.12178871057547833	1.5204647266085125	0.9545598931162771	0.07913503900780945	0.04346128608553141	0.1142203067640465	0.3453251533513584	0.05024517734797966	0.8089703143072599	0.4680943230632623	0.19861103337698865	0.13047922470882944	0.0560880630290517	0.28090201290119704	0.4124337230939066	0.09369252080465454	0.02554298020429183	0.15541093134731213	0.009029242170496119	0.005	0.45201019715598995	7.525198075466395	0.3342485374278364	0.1930621325811454	0.2188627760201964	0.25382655397082143
