Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4	
0	-6658.959002907006	-5866.164004671671	-792.7949982353346	-5866.164004671671	-780.1606066854557	4.643756491593495	2.3750242324217075	1.5220140943919722	0.5056334407521745	0.43167086668255644	1.3224826049561031	0.40138889995412386	0.2791430787776875	0.8172216155545515	1.2457230475628118	0.41514975055164083	0.04314456540060901	0.013337083880344106	0.17671318562138996	0.2962019285424779	0.5765218115625752	0.6078769859379088	0.3626995910700419	0.15026014032305918	0.10211713605801685	0.17926212328545474	0.6222698394842434	0.3134829783482224	0.09538679980104878	0.23328527301249968	0.038576348916643424	0.005	0.40106832090307337	8.536649431037285	0.33115481915007955	0.19830067484606648	0.22821659899400215	0.24232790700985174	
50000	-6657.056051468252	-5860.4284473945745	-796.6276040736778	-5860.4284473945745	-778.7641018066134	5.4423365757603195	1.7613839118728034	1.4644896218618364	0.40912632250964687	0.40908435701928314	1.9101275653402907	0.4643340973960774	0.2052959107343478	0.5452976521795015	2.1268665561522972	0.19770897610382154	0.2104632010222655	0.03363556198308196	0.19631701589997372	0.06440169079230354	0.6801540059156582	0.7751247193147329	0.15886284829667602	0.8101786640280628	0.47491717317422383	0.18063257351924908	1.0658601009607673	0.10521789126736422	0.10374024973186356	0.004782202404461209	0.024781011413011037	0.005	0.38339734277433474	6.73889557491663	0.3421071795454777	0.19905939696357958	0.2157499386514012	0.24308348483954145	
100000	-6699.575635077526	-5879.755049919019	-819.8205851585075	-5879.755049919019	-804.4201589899544	4.920623421108932	2.0398848817340696	1.440923052307572	0.2716909907919533	0.5245092404081494	1.7414582623611936	0.4083772110109351	0.1881676751563013	0.667294908330321	2.0571357044062744	0.010987778135652538	0.28747897867742345	0.034307135994147434	0.34366657893576896	0.14063872050741497	0.5869840239996765	1.3744838168623739	0.44929204152835506	0.0781950188297376	0.0871657907154129	0.1920563554977664	0.21361440030646567	0.07420629352394907	0.2594239531881101	0.17981512429453367	0.17686745123230665	0.005	0.4104278576009202	6.882932431697693	0.3409104464425321	0.2078405009442484	0.20649583573284097	0.2447532168803784	
150000	-6722.685901081836	-5874.65795340499	-848.0279476768463	-5874.65795340499	-832.2007738407625	4.633673279543032	2.9811316841290596	1.274128309469987	0.4000808109810261	0.3849309985885181	1.8598309207514174	0.4564556326935687	0.008815319468572332	0.9022141595333335	0.7512764421335454	0.017043266522568726	0.11782457693933467	0.008116466961394803	0.31242532254881256	0.027750843295432964	1.1942586675192242	0.7050446175055183	0.705427282875924	0.4450897716535244	0.026256165245993484	0.31327771668218274	1.135951464785318	0.5091019737773219	0.07536035979496224	0.01789880176217365	0.05877061904136014	0.005	0.3887801739778752	7.302085735813841	0.34603526595657463	0.21581816206247895	0.1923110437985616	0.2458355281823848	
200000	-6680.5873830067885	-5889.905990307222	-790.681392699566	-5889.905990307222	-779.2441491541157	5.056235202492792	1.5176074419502887	1.404651750446802	0.44098698167714495	0.4812913912070284	1.618996462494853	0.18294791141404554	0.2970234934053924	1.147215362070901	1.078141165038562	0.04774208930043072	0.1717036068528112	0.08918483220296428	0.42600573648938467	0.22766387531900315	0.5262920279397514	0.49797450950935934	0.19064096647510256	0.23020005013185588	0.11928753838222969	0.07137456305409673	1.0662713131002342	0.3266111687240637	0.00892724827750871	3.576133593596916E-5	0.056725651139588516	0.005	0.3926311628325894	8.795990419610211	0.3400909864327771	0.19909864709909256	0.23787469378678097	0.2229356726813494	
250000	-6632.914100479817	-5868.240326745412	-764.6737737344046	-5868.240326745412	-758.294922320998	4.989653895518979	1.7839166238085589	1.3734857519487205	0.29765193534932577	0.5533402969183436	1.649565520082643	0.16582175896619306	0.02301948389765697	0.28732025848819115	1.2060599471094207	0.039064335270933635	0.29421019825137423	0.04201070078495441	0.42393895155649897	0.04760923956254227	0.8602794236861967	0.6291374870141321	0.05781408562917402	1.170325627964208	0.028129443589329423	0.024024256471469097	0.06573130561002895	0.25369352962941477	0.004468866170775494	0.0022615397313339074	0.017091384668557662	0.005	0.3833067184043773	6.210462791150912	0.3478608701582672	0.2051523659391693	0.21878911093079076	0.22819765297177277	
300000	-6662.498464208416	-5848.954559847225	-813.5439043611915	-5848.954559847225	-798.2389533055286	4.834715051219552	1.1188590758403907	1.5752767887746175	0.275649052202433	0.7126355443343507	1.91534370498117	0.19845441307589945	0.05238077397821047	1.115842059301125	1.4770338035830999	0.03867355264615428	0.19390091211021332	0.003830579493754248	0.2748380540134636	0.12283199880860901	1.8770536678568834	1.0796747223436851	0.38583652988938966	0.16696358327006017	0.16639956040747536	0.04400780041686623	0.3971021142893359	0.08376611232412608	0.06520952680724636	0.0316545209300585	0.05165255163938818	0.005	0.4278885233866319	6.863261525747995	0.3478283301677671	0.20826741835154516	0.20267837242078002	0.24122587905990778	
350000	-6686.280578991945	-5894.992012839112	-791.2885661528329	-5894.992012839112	-779.5350959851858	5.496274502062575	2.023286887152317	1.1740035189102735	0.28587948318000744	0.645957056657988	1.4533494707465864	0.22255386651059722	0.04680979524727875	0.26261935797579494	1.4286436396557236	0.07865928235533355	0.04488101811314079	0.052511515522120134	0.23952301263044332	0.19120079470413978	1.1069298716491291	1.109833749708678	0.2349562199938224	0.6135749826624447	0.007118312653218908	0.012781234593953571	0.9334187321215892	0.1562699739091513	0.014200758843304871	0.047510421261888605	0.16698369476178482	0.005	0.3102374703728484	6.991346371835282	0.31166657534190945	0.2137788710262014	0.2139020412545561	0.2606525123773331	
400000	-6723.903033296988	-5892.421360987415	-831.4816723095726	-5892.421360987415	-823.7408355335677	5.109004720215331	1.9381566443896574	1.1482688624798378	0.2376891541050367	0.5813196710983284	1.4894312956448699	0.18914039067326235	0.02913113170733408	0.4203721215501217	0.7417150423719886	0.01824052657355531	0.07984479795306021	0.34138150720882104	0.27692107372438673	0.030702011972281135	0.5067311332018726	1.2156317515761532	0.3273660290978885	0.6436705646842245	0.034389445966330506	0.0832262209786415	0.6963563314096705	0.17322141006640276	0.08201389786710601	0.03982726803125069	0.11130647035625017	0.005	0.4241403689737526	6.372929429282867	0.35199473222893396	0.22056978042906686	0.2085131988564038	0.21892228848559553	
450000	-6710.251243598826	-5864.17726898565	-846.0739746131761	-5864.17726898565	-834.512872000641	5.026745619151013	1.4163105102679896	1.4794914235632497	0.514182724749961	0.7883106700050658	2.254283733291854	0.34704739514140737	0.08679092096283712	0.9769968091871621	0.7517687492686707	0.10697260944437711	0.07128609456599445	0.07982957849999926	0.2220932241315158	0.5582894352468982	0.6880215957915935	0.3270186897661104	0.6282590914398537	0.24068968515991432	0.13399725615790012	0.3068730511432793	0.7011529305198031	0.27285253632381573	0.030110720037870718	0.05821289096166065	0.08258471426102824	0.005	0.3744457414617067	6.850873791192333	0.3389805690445595	0.22344588915464958	0.2036645476517354	0.23390899414905578	
