Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4
0	-8564.75426084862	-7503.385334241298	-1061.368926607323	-7503.385334241298	-998.1690252269234	2.9808405999998318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	1.0	2.0	0.25	0.25	0.25	0.25
50000	-6960.344586142524	-5996.924405230159	-963.4201809123655	-5996.924405230159	-945.1709769341218	5.223842981307822	2.039516858554328	0.6356058534479314	1.7530293791396092	0.9899194443595368	1.9366392333392415	0.6444154922712472	0.2955209014325254	1.2535487564106378	1.2501195185641605	0.16857670691112084	1.2482275247662604	0.11095483744089173	0.5782198284590647	0.010619914766015717	0.06600513469777126	0.23941285392441966	0.4469753674779886	0.18107428118429902	0.02895002376833202	0.3823367913179116	0.9170481216924689	0.04840606213163463	0.03560983299543868	0.05573756012900567	0.11368587236850448	0.005	0.47865661356387323	7.46708615191793	0.3431572745980987	0.21167142682450676	0.20480250966562988	0.24036878891176483
100000	-6828.615944760271	-5937.446074865308	-891.1698698949629	-5937.446074865308	-878.5379221032432	4.720478797662681	1.5948380916647902	1.3315832746615508	0.4308640845576147	0.7649644604342362	2.275180147046813	0.23539271116529828	0.2761433823674526	1.0011302138916076	0.7590907112629407	0.07934690869582423	0.27808762302672035	0.03348097434931603	0.2626221036432356	0.5744540431444822	1.018893275440032	0.08134787744412768	0.5450790921225349	0.49616198804307093	0.13124875984102233	0.13122888945547034	0.6976787139091604	0.06295781007428401	0.014705596921334456	0.06012472450750169	0.24027292820048882	0.005	0.38339889663999405	6.728724575669159	0.3398397737524505	0.205963654244381	0.21985436841485917	0.23434220358830962
150000	-6756.116080884805	-5896.113966481722	-860.0021144030837	-5896.113966481722	-844.8227375731698	4.6144544288754235	0.924398379252027	0.9365402287573902	0.6943756661271171	0.8175399363114125	2.1067854783754787	0.113585972157313	0.16162294577998543	0.9160093250495831	2.878818149124762	0.04360502856727965	0.6260387302468925	0.08570301485702798	0.10577648930812229	0.07221820901803307	0.29789423034327717	0.37349332756382264	0.4185064801889158	0.12923246151409265	0.09635408565269948	0.2261018888003374	0.7913708169530814	0.10067538234717184	0.1500685544860847	0.05059158882748424	0.0319932375731499	0.005	0.41989511213974484	8.117412365721227	0.3641657556704677	0.21366649243028685	0.1985715176942516	0.22359623420499414
200000	-6736.559911703555	-5910.073601905254	-826.4863097983018	-5910.073601905254	-814.7990531766693	4.64985754193331	1.7735673991039367	1.1552244624879922	0.4876410460005095	0.7293921691414028	1.6667276495422547	0.1649615316116084	0.09279817460960187	0.6275189720767993	1.9493099660110171	0.02627161841569862	0.08499728195001312	0.05764584832370392	0.6146241942242575	0.34968926355587915	0.43906158421184804	0.27287244874299343	0.007506681665353589	0.4673402247211573	0.05142629564190128	0.895764364708546	0.36979765383484203	0.03251286064038193	0.02896215109458053	0.06587716129807258	0.1912275001476585	0.005	0.42969260693968	7.177649907865706	0.36385624295712926	0.2086284710071847	0.19799927196058448	0.22951601407510178
250000	-6737.512890730029	-5910.970482451432	-826.5424082785967	-5910.970482451432	-813.1337425958878	4.645416852278422	1.153757647451057	1.168761987729511	0.32687189431418107	0.7586268952569921	2.0731565863190204	0.34206458744088	0.008906325779781937	0.8506587745894042	1.6963769821037937	0.12135557200393035	0.12472407507744021	0.10480035107869388	0.10721223392435868	0.5637039421607903	1.1308124254635745	0.5119834408894597	0.20029202988701061	0.04774009063818075	0.05592742559056711	0.1785398373992846	0.8942101123002194	0.2891913956357924	0.05907697347008901	0.020179278423656508	0.01713878474530896	0.005	0.4410311494393603	7.388836627035305	0.3560205685248223	0.19632436697552405	0.20336616129777543	0.2442889032018784
300000	-6757.618734203109	-5900.664435652264	-856.9542985508451	-5900.664435652264	-838.1677508634656	5.064880819179853	2.033718235578511	1.038604794759695	0.40480131109293516	0.48563552602685345	1.9628758132114892	0.08501113605377188	0.08121637051685544	1.21459346385947	1.8689027372520501	0.5882538838675658	0.19657427602542674	0.008128110597884654	0.6421039400497689	0.4752895017361961	0.3831515429824436	0.35847193893404833	0.11765262461101182	0.7400803113321447	0.25407040327688957	0.003220589583090582	1.0024424077919363	0.2897133606642048	0.06846950092992476	0.1323884280477507	0.09537293819685587	0.005	0.4368462257266931	7.614968969875801	0.34185996636289145	0.20486758696548926	0.21034005118217278	0.2429323954894467
350000	-6659.328284059562	-5865.416078961056	-793.9122050985062	-5865.416078961056	-783.5819021803065	4.457406141348131	0.9154401305951343	1.296860593266478	0.2407254821801917	0.6129639366892484	1.746843138341659	0.23703667178830362	0.12224450861780231	1.2336419123362594	1.061168668036639	0.1496269107792537	0.06241815009598486	0.09026853196027501	0.18506209528486325	0.2540300135988057	0.5533890946798666	0.4319996882392533	0.5951229235632649	0.02912444884949051	0.15793449486742178	0.38753743833826376	0.8557042002892263	0.02368067282475013	0.012103888011529323	0.17913809511587792	0.05945218188717769	0.005	0.5009407770668801	8.143057727552735	0.3496379704523436	0.19880214763079718	0.19981991898213852	0.25173996293472095
400000	-6713.461957419751	-5899.826161275225	-813.6357961445269	-5899.826161275225	-802.361792910732	4.689230733058626	1.8538543149067224	1.1822824428384309	0.5467506723366896	0.6860759428647402	1.6286065825394127	0.3083407850400373	0.528652215105592	0.9575012279843459	0.5406149594206786	0.11561945686556144	0.01599843043035526	0.06432984481211482	0.2500832879213975	0.06844438189779846	0.7784669478983056	0.6227801433855457	0.3065326117512736	0.3586091676488934	0.1502025989357856	0.34213243078746597	0.7332598518265345	0.45019667880923137	0.06490292918962216	0.012351231128965051	0.043506106921112	0.005	0.3517483946732256	6.686930649492943	0.3185217167978618	0.21901167920302642	0.21863720992752647	0.24382939407158555
450000	-6727.692202500523	-5895.439605231561	-832.2525972689624	-5895.439605231561	-820.1860322226452	4.47601130160337	1.3386605767782822	1.1155162878121823	0.6139660739312132	0.7477213029126182	1.9151156089910395	0.3110888386683675	0.26999099240645413	0.7936837566149564	0.5180250556046988	0.2737093887267845	0.4825156231706147	0.06081972223780987	0.11953117459533327	0.16287222595507497	1.0661834955532707	0.6355183913396253	0.6093743945711713	0.08180718498924551	0.03590192794976212	0.06162391609050755	1.0416055938928905	0.252357944371572	0.03499634735759733	0.007916927968411003	0.034284222978570256	0.005	0.44420066919938866	7.538988123210477	0.34393898346461244	0.1938906465833351	0.21772138806550392	0.24444898188654884
500000	-6711.765751557903	-5887.635949528844	-824.1298020290583	-5887.635949528844	-818.301536038198	5.1690866433450156	1.530485404249928	1.4109017984217798	0.23023455607723498	0.7013025666474441	2.082074623361845	0.42890141532631426	0.02556440764113326	0.3490260306124546	0.8713928076066512	0.2132508251719045	0.17676327837825642	0.09593916784674048	0.2974556459513647	0.045583568796573236	0.9169765174134775	0.22084599599172214	0.21934297796329272	0.8088586758301998	0.08645654949185952	0.03811240027339096	0.29667166870988865	0.027998457228959786	0.10176937351213172	0.017022416402942494	0.09004518767029841	0.005	0.5672611127246145	7.767575116050483	0.3401721696479848	0.2230522250387864	0.21518909103862893	0.22158651427460022
550000	-6683.121174338135	-5882.641219753168	-800.4799545849661	-5882.641219753168	-790.7387670044217	5.400802005875848	1.2728332337572907	1.2253172361914224	0.37456990216144587	0.6403557660350844	1.8220052869637189	0.2363924322479597	0.2784942101487461	0.5163974256287244	1.3487886978741026	0.05689147115020892	0.17459493165825438	0.1349078844452563	0.4665042375443391	0.0087265966991211	0.8423943123324237	0.40962250169812503	0.1490410610877203	0.07245285119869814	0.17757397095551714	0.028042454744054167	1.108585533033711	0.20808098445199483	0.05298426350334562	0.2051927965849917	0.026534390391587805	0.005	0.36640338535567274	6.31328338832776	0.3406512583699073	0.20571007205451608	0.21151599590301923	0.24212267367255783
