Sample	posterior	likelihood	prior	treeLikelihood.H3N2_subsampled	structuredCoalescent.t:H3N2_subsampled	treeHeight.t:H3N2_subsampled	Ne.t:H3N2_subsampled.Australia	Ne.t:H3N2_subsampled.Hong_Kong	Ne.t:H3N2_subsampled.Japan	Ne.t:H3N2_subsampled.New_Zealand	Ne.t:H3N2_subsampled.USA	b_migration.t:H3N2_subsampled.Australia_to_Hong_Kong	b_migration.t:H3N2_subsampled.Australia_to_Japan	b_migration.t:H3N2_subsampled.Australia_to_New_Zealand	b_migration.t:H3N2_subsampled.Australia_to_USA	b_migration.t:H3N2_subsampled.Hong_Kong_to_Australia	b_migration.t:H3N2_subsampled.Hong_Kong_to_Japan	b_migration.t:H3N2_subsampled.Hong_Kong_to_New_Zealand	b_migration.t:H3N2_subsampled.Hong_Kong_to_USA	b_migration.t:H3N2_subsampled.Japan_to_Australia	b_migration.t:H3N2_subsampled.Japan_to_Hong_Kong	b_migration.t:H3N2_subsampled.Japan_to_New_Zealand	b_migration.t:H3N2_subsampled.Japan_to_USA	b_migration.t:H3N2_subsampled.New_Zealand_to_Australia	b_migration.t:H3N2_subsampled.New_Zealand_to_Hong_Kong	b_migration.t:H3N2_subsampled.New_Zealand_to_Japan	b_migration.t:H3N2_subsampled.New_Zealand_to_USA	b_migration.t:H3N2_subsampled.USA_to_Australia	b_migration.t:H3N2_subsampled.USA_to_Hong_Kong	b_migration.t:H3N2_subsampled.USA_to_Japan	b_migration.t:H3N2_subsampled.USA_to_New_Zealand	clockRate.c:H3N2_subsampled	gammaShape.s:H3N2_subsampled	kappa.s:H3N2_subsampled	freqParameter.s:H3N2_subsampled1	freqParameter.s:H3N2_subsampled2	freqParameter.s:H3N2_subsampled3	freqParameter.s:H3N2_subsampled4
0	-8564.754260195616	-7503.3853339971665	-1061.3689261984496	-7503.3853339971665	-998.16902481805	2.9808405999998318	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	1.0	2.0	0.25	0.25	0.25	0.25
50000	-6874.935143757705	-5915.541832938528	-959.393310819177	-5915.541832938528	-939.7994444294088	4.991694182890901	1.7166357911708765	1.6886374789906962	0.1552085231691287	1.216023747492322	3.7092992472030892	0.4575432371725636	0.943602386789654	0.30176333045882403	0.7194828269753724	0.20335095697715577	0.08845143452248508	0.010985967676277278	0.10722867684846443	0.3269960766649099	0.7509629111336625	0.4940412427687665	1.1030138835177468	0.3075290732075327	0.18662720421650464	0.9216716356984286	0.07967255771218655	0.2042716536687795	0.02923935201423974	0.8682501005010336	0.3336327359473929	0.005	0.3344015287171824	8.706154147870816	0.3500749502834748	0.21586910203293044	0.20685248506238943	0.22720346262120522
100000	-6870.277606919567	-5913.626143431839	-956.6514634877274	-5913.626143431839	-935.4755351506828	4.852740450072625	2.2705198109872176	1.8014471220055956	0.14307555098217065	0.9598324305782306	2.2165334540995256	0.15266544405654492	0.9894301606967459	0.12257699512945852	0.65502599294858	0.11050667144154702	0.17116288080712003	0.0587002990370376	0.31512463859139106	0.6099283032679131	0.45869386766111914	0.06187877198245672	0.9314109218457419	0.22475394906640067	0.09267184891172874	2.6550064753241918	0.27651129996017704	0.36631202991615897	0.01424295778068111	0.5488873634341686	0.1797750151904466	0.005	0.43949482409962676	7.663555362303573	0.34658116947577344	0.20791029432771171	0.20868275639143197	0.23682577980508274
150000	-6799.907790169041	-5911.198224862345	-888.709565306695	-5911.198224862345	-881.9662950080793	4.813243330785505	1.3616525635542194	1.4604583181470123	0.3278237606958736	0.6912254782030135	2.4118802338930876	0.16454837392367594	0.27778817451459653	0.2102685995035034	0.9869316021694984	0.15916326854199198	0.34644940023116944	0.12463248175404334	0.34387372597272464	0.13006794723886583	0.40605588571661766	0.042114702458665006	0.6580166964922703	0.2787714572168883	0.04618186041511298	0.8967677592969132	0.35337634752782054	0.10144683785789148	0.010706207074709985	0.06060900916391861	0.016630128929953397	0.005	0.413555365656925	6.082272402076417	0.3621067118751185	0.21644711401340536	0.20823671680574457	0.21320945730573151
200000	-6749.405129022123	-5891.891435304211	-857.5136937179121	-5891.891435304211	-838.0235898653044	4.5024912928861776	0.8860728684887944	0.9652836577644772	0.40171697502669684	0.5908530843924396	2.4997744848187637	0.3874030217307379	0.030859857051738153	0.40407273442268005	2.057161860221286	0.004691093266185875	0.08729806254955629	0.03223036487568363	0.3252671588582131	0.327439265672552	1.7498569048422372	0.516405440509904	0.4944559152421769	0.5705104359984555	0.223161383360358	0.33662195645300086	0.48388724308402714	0.12307443040874368	0.01858966571818418	0.12906621900339196	0.7099269363172535	0.005	0.43560614411791954	5.88273323777133	0.3612316412329818	0.19355595275110263	0.20629635876480173	0.23891604725111387
250000	-6753.123242431207	-5857.261609810036	-895.8616326211704	-5857.261609810036	-883.4365813359968	4.9083869184481514	1.7858806665169804	1.357408565900215	0.4523189091155937	0.7783549033910538	2.621994708992298	0.2177000820345603	0.30375345000027654	0.9492717406850579	0.501725618934963	0.005587670872847529	0.31344603216237826	0.21545689398814505	0.114271392110599	0.1173810686920012	1.0834529228255654	0.6450260304109527	0.6546980199605059	0.1613694649110091	0.08084401064848162	0.16505515243041535	0.7847798690678495	0.12311850473425871	0.05131347153575465	0.1367456031941249	0.1462601998951667	0.005	0.405744711804998	7.735362564032591	0.3604926744416678	0.19471462893981092	0.20095092191709385	0.24384177470142746
300000	-6725.682474764436	-5846.134219062423	-879.5482557020131	-5846.134219062423	-870.8267773632954	4.585232605062711	1.6449470311061167	1.0794354582298455	0.3731871349925239	0.8227961894756585	2.41688839400859	0.16896096392414692	0.04540402166135384	0.5247879765549559	0.7229184593650567	0.1868672744093966	0.8904020757639141	0.22855399451644498	0.11023686194876643	0.007513119562982684	0.24844360664807347	0.9018335608494402	0.2536161997808202	0.1319842345916577	0.08720479295069718	0.12691132683844927	0.9639815378395231	0.18225781566822247	0.01873927519346564	0.1030720546315007	0.057771197042327735	0.005	0.4637787842322369	7.773888707949061	0.3476244650520539	0.22063320312773532	0.20430524684618948	0.22743708497402126
350000	-6698.826531169742	-5858.781965093132	-840.04456607661	-5858.781965093132	-827.8361361773848	4.711425815157035	1.1586805867956087	1.2670447965703342	0.5068669491181272	0.5702152695238354	2.1963557405566516	0.08657690629510047	0.09248067910199047	0.9829832513998694	1.159386500177028	0.020093794029904417	0.15455883830338923	0.012069661483708041	0.21443359066363313	0.1933281654872106	0.9199615088983346	0.5594158150690904	0.1625041293695968	0.4707138706622715	0.19104425986208412	0.1849234807259927	1.1473086507764563	0.012365331704775677	0.013101581732265548	0.18717082478111707	0.2563488276031882	0.005	0.47963826657251196	6.25371063579012	0.3380372872770786	0.20844898436041043	0.22980226040817267	0.22371146795433824
400000	-6710.302831491106	-5861.3577119073425	-848.9451195837637	-5861.3577119073425	-839.0627860862178	5.073179387659179	1.1412724186023775	1.4373763254846275	0.6316836842437455	0.4325920014291305	2.1068419050300635	0.2896214102323219	0.12436682371456602	0.23815625778030852	1.0630238711824025	0.013084733650527983	0.49524805698039026	0.19388696535788233	0.30822583150842725	0.4594732802198129	0.3763136299032735	0.2650255487209548	0.2724812742668273	0.5439890169334999	0.14471016648934987	0.8686164402713549	0.382723642387682	0.0833266506626345	0.06090828484188328	0.086432590137657	0.022578782971865913	0.005	0.4166375950544918	9.099083407503047	0.34793561754445823	0.22103119934563653	0.21080312064219878	0.22023006246770652
450000	-6678.896595501431	-5859.369105263483	-819.5274902379481	-5859.369105263483	-801.3109899437276	4.792481318555783	1.7812850412077028	1.226377263631649	0.30589455615686256	0.40891876254609516	2.458460591502329	0.17240633460040733	0.14362881066621305	0.9645066260980146	1.94839611387304	4.913184721727852E-4	0.21249318286764327	0.15903147954770747	0.42440292848567207	0.8925834675073984	0.6427454847276522	0.40251881561290087	0.0361321693426413	0.9091113397205693	0.13391084889114174	0.5518641205834939	0.6069331415271297	0.18722548178030804	0.03922964785826861	0.0072554524953935265	0.049606888406034895	0.005	0.3705063791208479	7.782483654923622	0.32717311179671227	0.230349076395196	0.20411226404208554	0.23836554776600624
