Rates_2_200_100_1mtt.log,3203.60
Rates_2_200_10_1mtt.log,3304.91
Rates_2_200_11_1mtt.log,3415.56
Rates_2_200_12_1mtt.log,3809.76
Rates_2_200_13_1mtt.log,4104.87
Rates_2_200_14_1mtt.log,4040.95
Rates_2_200_15_1mtt.log,3452.99
Rates_2_200_16_1mtt.log,3680.76
Rates_2_200_17_1mtt.log,2169.79
Rates_2_200_18_1mtt.log,3217.43
Rates_2_200_19_1mtt.log,3525.46
Rates_2_200_1_1mtt.log,3319.37
Rates_2_200_20_1mtt.log,3537.02
Rates_2_200_21_1mtt.log,3757.12
Rates_2_200_22_1mtt.log,4250.14
Rates_2_200_23_1mtt.log,4401.65
Rates_2_200_24_1mtt.log,3145.51
Rates_2_200_25_1mtt.log,3388.34
Rates_2_200_26_1mtt.log,4129.67
Rates_2_200_27_1mtt.log,1977.80
Rates_2_200_28_1mtt.log,2271.94
Rates_2_200_29_1mtt.log,2235.76
Rates_2_200_2_1mtt.log,3433.18
Rates_2_200_30_1mtt.log,2062.76
Rates_2_200_31_1mtt.log,2400.93
Rates_2_200_32_1mtt.log,2270.68
Rates_2_200_33_1mtt.log,3205.37
Rates_2_200_34_1mtt.log,3002.98
Rates_2_200_35_1mtt.log,2428.93
Rates_2_200_36_1mtt.log,2142.23
Rates_2_200_37_1mtt.log,2359.33
Rates_2_200_38_1mtt.log,2562.74
Rates_2_200_39_1mtt.log,2094.20
Rates_2_200_3_1mtt.log,2167.41
Rates_2_200_40_1mtt.log,2009.80
Rates_2_200_41_1mtt.log,2051.09
Rates_2_200_42_1mtt.log,2097.48
Rates_2_200_43_1mtt.log,2361.02
Rates_2_200_44_1mtt.log,2518.48
Rates_2_200_45_1mtt.log,2535.56
Rates_2_200_46_1mtt.log,2303.30
Rates_2_200_47_1mtt.log,2168.93
Rates_2_200_48_1mtt.log,2049.92
Rates_2_200_49_1mtt.log,2141.26
Rates_2_200_4_1mtt.log,2211.19
Rates_2_200_50_1mtt.log,2297.71
Rates_2_200_51_1mtt.log,2485.95
Rates_2_200_52_1mtt.log,3070.83
Rates_2_200_53_1mtt.log,3226.28
Rates_2_200_54_1mtt.log,3438.00
Rates_2_200_55_1mtt.log,2824.25
Rates_2_200_56_1mtt.log,2805.26
Rates_2_200_57_1mtt.log,3129.14
Rates_2_200_58_1mtt.log,3050.45
Rates_2_200_59_1mtt.log,3316.12
Rates_2_200_5_1mtt.log,2089.78
Rates_2_200_60_1mtt.log,2305.15
Rates_2_200_61_1mtt.log,2133.55
Rates_2_200_62_1mtt.log,2214.30
Rates_2_200_63_1mtt.log,2550.51
Rates_2_200_64_1mtt.log,3014.06
Rates_2_200_65_1mtt.log,2633.81
Rates_2_200_66_1mtt.log,1962.42
Rates_2_200_67_1mtt.log,2792.97
Rates_2_200_68_1mtt.log,2259.55
