"states" "lineages" "ess_time" "method"
"1" 2 200 1028.96737397104 "mtt"
"2" 2 200 2481.85408571924 "mtt"
"3" 2 200 822.713073986437 "mtt"
"4" 2 200 557.729238189657 "mtt"
"5" 2 200 447.78918278579 "mtt"
"6" 2 200 431.811107816991 "mtt"
"7" 2 200 387.116277855607 "mtt"
"8" 2 200 841.412702901598 "mtt"
"9" 2 200 1664.51196072332 "mtt"
"10" 2 200 740.543061509987 "mtt"
"11" 2 200 2446.7966061142 "mtt"
"12" 2 200 2017.09177342274 "mtt"
"13" 2 200 1346.1077803963 "mtt"
"14" 2 200 1494.95541778717 "mtt"
"15" 2 200 627.424529529392 "mtt"
"16" 2 200 281.394441504932 "mtt"
"17" 2 200 2134.72457604065 "mtt"
"18" 2 200 1663.08962251684 "mtt"
"19" 2 200 252.662652556538 "mtt"
"20" 2 200 2115.34939134319 "mtt"
"21" 2 200 1321.83113012962 "mtt"
"22" 2 200 1455.04253040854 "mtt"
"23" 2 200 1164.72200622168 "mtt"
"24" 2 200 1066.83461180804 "mtt"
"25" 2 200 1468.65367273751 "mtt"
"26" 2 200 823.482313396784 "mtt"
"27" 2 200 672.003999224299 "mtt"
"28" 2 200 716.526859670441 "mtt"
"29" 2 200 2763.66144156438 "mtt"
"30" 2 200 3621.2721630983 "mtt"
"31" 2 200 2035.7039753703 "mtt"
"32" 2 200 166.654698530003 "mtt"
"33" 2 200 1032.66885848252 "mtt"
"34" 2 200 1849.3014351002 "mtt"
"35" 2 200 3201.35440374133 "mtt"
"36" 2 200 1928.51966233197 "mtt"
"37" 2 200 1097.15698532967 "mtt"
"38" 2 200 1184.36782490398 "mtt"
"39" 2 200 841.940584407587 "mtt"
"40" 2 200 778.717691862433 "mtt"
"41" 2 200 2950.09643678467 "mtt"
"42" 2 200 1593.42785470526 "mtt"
"43" 2 200 1876.48129853083 "mtt"
"44" 2 200 1070.92051062459 "mtt"
"45" 2 200 2232.82106734197 "mtt"
"46" 2 200 3183.11863230285 "mtt"
"47" 2 200 1796.69650514914 "mtt"
"48" 2 200 292.185757326889 "mtt"
"49" 2 200 1896.29164117116 "mtt"
"50" 2 200 539.085445462249 "mtt"
"51" 2 200 2413.78025881552 "mtt"
"52" 2 200 839.31053979238 "mtt"
"53" 2 200 929.455237301657 "mtt"
"54" 2 200 753.996300797939 "mtt"
"55" 2 200 1718.96263046958 "mtt"
"56" 2 200 1396.56928446982 "mtt"
"57" 2 200 909.403781060541 "mtt"
"58" 2 200 540.72855787243 "mtt"
"59" 2 200 876.755295853397 "mtt"
"60" 2 200 862.898995843678 "mtt"
"61" 2 200 1358.23344102339 "mtt"
"62" 2 200 606.158840380332 "mtt"
"63" 2 200 3129.02260288701 "mtt"
"64" 2 200 1328.01919584871 "mtt"
"65" 2 200 1178.9185657843 "mtt"
"66" 2 200 1348.30462519978 "mtt"
